team,conference,division,points,wins,losses,ot_losses,goal_diff
COL,Western,Central,108,49,14,10,92
CAR,Eastern,Metropolitan,100,47,21,6,45
BUF,Eastern,Atlantic,100,46,21,8,42
DAL,Western,Central,100,44,19,12,46
TBL,Eastern,Atlantic,98,46,22,6,61
MTL,Eastern,Atlantic,96,43,21,10,28
MIN,Western,Central,94,41,21,12,26
BOS,Eastern,Atlantic,94,43,24,8,23
PIT,Eastern,Metropolitan,92,38,21,16,25
NYI,Eastern,Metropolitan,89,42,29,5,1
CBJ,Eastern,Metropolitan,88,38,25,12,8
ANA,Western,Pacific,87,41,28,5,-7
OTT,Eastern,Atlantic,86,38,26,10,17
DET,Eastern,Atlantic,86,39,27,8,-7
PHI,Eastern,Metropolitan,86,37,25,12,-5
WSH,Eastern,Metropolitan,85,38,28,9,15
EDM,Western,Pacific,85,38,28,9,10
UTA,Western,Central,82,38,30,6,23
VGK,Western,Pacific,82,33,26,16,0
NJD,Eastern,Metropolitan,78,38,34,2,-22
NSH,Western,Central,77,34,31,9,-26
TOR,Eastern,Atlantic,77,32,30,13,-29
LAK,Western,Pacific,76,29,26,18,-27
WPG,Western,Central,76,32,30,12,-15
SJS,Western,Pacific,75,34,31,7,-37
SEA,Western,Pacific,75,32,30,11,-21
FLA,Eastern,Atlantic,75,36,35,3,-25
STL,Western,Central,73,31,31,11,-37
NYR,Eastern,Metropolitan,71,31,35,9,-18
CGY,Western,Pacific,70,31,35,8,-43
CHI,Western,Central,68,27,34,14,-53
VAN,Western,Pacific,50,21,44,8,-90
